Model,Precision,Recall,F1-Score
Gazetteer,0.25,0.0018450184501845018,0.003663003663003663
Spacy: 10 Epochen,0.959349593495935,0.6531365313653137,0.7771679473106476
Spacy Basis Modell DE,0.9319727891156463,0.7583025830258303,0.8362156663275687
BERT NER,0.962882096069869,0.8136531365313653,0.882
