Methode,Precision,Recall,F1-Score
Regex,0.7213114754098361,0.7426160337552743,0.7318087318087318
spaCy Custom,0.7470817120622568,0.810126582278481,0.7773279352226721
spaCy Base,0.39800995024875624,0.6751054852320675,0.5007824726134585
