Methode,Precision,Recall,F1-Score,Accuracy
REGEX,0.818,0.825,0.808,1.0
CUSTOM,0.618,0.647,0.619,1.0
BASE,0.372,0.531,0.412,0.999
NER_BERT,0.413,0.482,0.425,0.999
