Methode,Precision,Recall,F1-Score
Regex,0.763265306122449,0.7890295358649789,0.7759336099585062
spaCy Custom,0.7470817120622568,0.810126582278481,0.7773279352226721
spaCy Base,0.39800995024875624,0.6751054852320675,0.5007824726134585
