Model,Precision,Recall,F1-Score,Accuracy
Gazetteer,0.705,0.679,0.683,0.984
Spacy: 10 Epochen,0.714,0.696,0.697,0.984
Spacy Basis Modell DE,0.463,0.613,0.5,0.916
BERT NER,0.391,0.468,0.398,0.912
