Model,Precision,Recall,F1-Score
Gazetteer,0.9076305220883534,0.8339483394833949,0.8692307692307693
spaCy: 10 Epochen,0.8923076923076924,0.8560885608856088,0.8738229755178908
spaCy Basis Modell DE,0.5198019801980198,0.7749077490774908,0.6222222222222222
BERT NER,0.6491228070175439,0.6826568265682657,0.6654676258992805
