Methode,Precision,Recall,F1-Score
Gazetteer,0.7843137254901961,0.8108108108108109,0.7973421926910299
Erweitertes Spacy-Modell,0.7577639751552795,0.8243243243243243,0.7896440129449838
Standard Spacy-Modell-DE-News,0.4141791044776119,0.75,0.5336538461538461
BERT Spezialisiertes NER-Modell,0.5734265734265734,0.5540540540540541,0.563573883161512
