Epoche,Variante,Precision,Recall,F1
1,Ohne EntityRuler,0.39,0.4533333333333333,0.40977777777777774
1,Mit EntityRuler,0.39,0.4533333333333333,0.40977777777777774
2,Ohne EntityRuler,0.4072222222222222,0.47333333333333333,0.4282222222222222
2,Mit EntityRuler,0.4072222222222222,0.47333333333333333,0.4282222222222222
3,Ohne EntityRuler,0.4083333333333333,0.4666666666666667,0.4271111111111111
3,Mit EntityRuler,0.4083333333333333,0.4666666666666667,0.4271111111111111
4,Ohne EntityRuler,0.3972222222222222,0.4666666666666667,0.41933333333333334
4,Mit EntityRuler,0.3972222222222222,0.4666666666666667,0.41933333333333334
5,Ohne EntityRuler,0.4172222222222222,0.47333333333333333,0.4348888888888889
5,Mit EntityRuler,0.4172222222222222,0.47333333333333333,0.4348888888888889
6,Ohne EntityRuler,0.40388888888888885,0.47333333333333333,0.42600000000000005
6,Mit EntityRuler,0.40388888888888885,0.47333333333333333,0.42600000000000005
7,Ohne EntityRuler,0.41388888888888886,0.47333333333333333,0.4326666666666667
7,Mit EntityRuler,0.41388888888888886,0.47333333333333333,0.4326666666666667
8,Ohne EntityRuler,0.40888888888888886,0.4666666666666667,0.4264444444444444
8,Mit EntityRuler,0.40888888888888886,0.4666666666666667,0.4264444444444444
9,Ohne EntityRuler,0.4083333333333333,0.4666666666666667,0.4271111111111111
9,Mit EntityRuler,0.4083333333333333,0.4666666666666667,0.4271111111111111
10,Ohne EntityRuler,0.3961111111111111,0.46,0.416
10,Mit EntityRuler,0.3961111111111111,0.46,0.416
