Methode,Precision,Recall,F1-Score,Accuracy
REGEX,0.803,0.823,0.798,1.0
CUSTOM,0.809,0.851,0.814,1.0
BASE,0.443,0.578,0.474,0.999
NER_BERT,0.409,0.477,0.421,0.999
